KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
583904082,2,583904091,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
583904091,1,,583904082,7,4,3,0,0,0,12,7,5,6,3,3,11,6,5,10,6,4,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,2,3,0,1,0,0,0,4,4,0,0,4,0,2,2
583904092,0,,,54,24,30,6,3,3,48,21,27,21,10,11,47,21,26,47,21,26,27,11,16,17,9,8,3,2,1,0,0,0,0,0,0,22,22,4,11,4,0,2,1,0,18,13,5,2,17,0,2,7
583904093,0,,,89,44,45,13,8,5,76,36,40,38,20,18,74,36,38,74,36,38,38,16,22,20,6,14,6,2,4,0,0,0,0,0,0,29,29,5,12,3,3,1,3,2,24,16,8,3,27,0,4,8
583904094,0,,,88,36,52,6,2,4,82,34,48,38,20,18,76,30,46,76,30,46,44,14,30,24,6,18,12,1,11,0,0,0,0,0,0,34,34,10,11,4,3,5,0,1,24,15,9,0,33,0,9,6
583905001,2,583905002,,16,3,13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13,13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
583905002,1,,583905001,3,2,1,0,0,0,19,5,14,16,4,12,19,5,14,19,5,14,3,1,2,1,0,1,1,0,1,0,0,0,11,0,11,1,1,12,0,1,1,0,0,0,2,1,1,0,2,4,0,0
583905091,2,583905092,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
583905092,1,,583905091,26,11,15,4,3,1,24,9,15,16,5,11,24,9,15,22,9,13,8,4,4,3,2,1,2,1,1,0,0,0,0,0,0,6,6,0,2,1,0,3,1,0,7,3,4,0,4,0,0,1
583905093,2,583905094,,10,8,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
583905094,1,,583905093,12,6,6,1,1,0,21,13,8,8,7,1,19,11,8,19,11,8,13,6,7,7,3,4,1,0,1,0,0,0,0,0,0,7,7,4,4,1,0,0,0,1,6,4,2,0,8,0,2,3
583905191,1,,583905194,11,4,7,2,1,1,21,8,13,12,4,8,19,7,12,18,7,11,9,4,5,5,1,4,1,0,1,0,0,0,0,0,0,5,5,2,3,0,2,0,0,1,6,3,3,0,7,0,2,3
583905192,0,,,29,15,14,4,1,3,25,14,11,11,6,5,25,14,11,25,14,11,14,8,6,7,4,3,2,0,2,0,0,0,1,1,0,10,10,3,2,3,0,1,0,1,7,3,4,1,9,0,2,1
583905194,2,583905191,,12,5,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
