KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,　人口（総数）,　人口（総数）　男,　人口（総数）　女,　０～１４歳人口　総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口　総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口　総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　１８歳以上人口　総数,　１８歳以上人口　男,　１８歳以上人口　女,　２０歳以上人口　総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口　総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口　総数,　７５歳以上人口　男,　７５歳以上人口　女,　８５歳以上人口　総数,　８５歳以上人口　男,　８５歳以上人口　女,　９５歳以上人口　総数,　９５歳以上人口　男,　９５歳以上人口　女,　外国人人口　総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯数　一般世帯数,　２人世帯数　一般世帯数,　３人世帯数　一般世帯数,　４人世帯数　一般世帯数,　５人世帯数　一般世帯数,　６人世帯数　一般世帯数,　７人以上世帯数　一般世帯数,　親族のみの世帯数　一般世帯数,　核家族世帯数　一般世帯数,　核家族以外の世帯数　一般世帯数,　６歳未満世帯員のいる世帯数　一般世帯数,　６５歳以上世帯員のいる世帯数　一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯数　一般世帯数,　高齢単身世帯数　一般世帯数,　高齢夫婦世帯数　一般世帯数
392636643,1,,392636741,103,60,43,7,5,2,98,56,42,52,31,21,97,56,41,97,56,41,46,25,21,23,10,13,12,7,5,0,0,0,0,0,0,49,49,22,14,6,5,2,0,1,27,19,8,1,37,0,16,3
392636741,2,392636643,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392636841,2,392636843,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392636843,1,,392636841,24,14,10,4,1,3,24,14,10,16,11,5,23,14,9,23,14,9,8,3,5,7,3,4,3,1,2,0,0,0,0,0,0,12,12,5,4,2,1,1,0,0,8,6,2,1,7,0,2,0
392636913,0,,,170,94,76,12,8,4,158,86,72,83,47,36,156,85,71,152,83,69,75,39,36,38,16,22,11,3,8,2,1,1,2,0,2,76,76,25,27,13,7,0,4,0,50,38,12,4,55,0,20,13
392636914,0,,,204,107,97,35,18,17,169,89,80,110,58,52,164,87,77,162,85,77,59,31,28,32,16,16,10,3,7,3,1,2,1,0,1,101,101,44,32,11,9,3,2,0,55,50,5,10,45,4,20,10
392636922,2,392636934,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392636932,0,,,53,31,22,10,8,2,43,23,20,26,15,11,41,22,19,41,22,19,17,8,9,9,5,4,2,1,1,1,1,0,0,0,0,22,22,5,9,4,2,2,0,0,17,17,0,3,11,0,3,3
392636934,1,,392636922,113,50,63,8,6,2,107,45,62,58,28,30,107,45,62,106,45,61,49,17,32,31,6,25,17,2,15,3,0,3,0,0,0,59,58,34,13,6,2,4,0,0,24,22,2,2,26,3,9,9
392636941,0,,,21,10,11,0,0,0,21,10,11,9,5,4,21,10,11,21,10,11,12,5,7,7,2,5,5,1,4,2,0,2,0,0,0,11,11,4,4,3,0,0,0,0,6,5,1,0,7,0,2,0
392636942,2,392636944,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392636943,0,,,16,7,9,3,1,2,13,6,7,11,5,6,13,6,7,13,6,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,2,3,1,0,1,0,0,5,5,0,1,1,0,0,1
392636944,1,,392636942,242,122,120,46,25,21,203,100,103,156,77,79,196,98,98,195,98,97,47,23,24,13,7,6,5,3,2,0,0,0,1,0,1,127,127,64,34,20,7,3,1,1,63,59,4,15,33,11,13,13
392645192,0,,,124,62,62,34,16,18,90,46,44,75,39,36,87,45,42,87,45,42,15,7,8,7,1,6,0,0,0,0,0,0,2,2,0,58,58,30,10,6,6,4,2,0,28,26,2,7,13,6,9,1
392645193,0,,,143,76,67,21,8,13,122,68,54,78,44,34,119,66,53,119,66,53,44,24,20,18,8,10,6,2,4,0,0,0,0,0,0,64,64,26,17,7,9,4,1,0,38,26,12,4,30,1,12,5
392645194,0,,,774,428,346,150,89,61,621,337,284,466,258,208,592,318,274,578,312,266,155,79,76,77,37,40,29,10,19,2,0,2,2,1,1,347,347,149,78,48,46,17,7,2,195,174,21,38,111,18,38,14
392645272,0,,,13,9,4,2,2,0,11,7,4,7,4,3,11,7,4,11,7,4,4,3,1,2,1,1,2,1,1,0,0,0,0,0,0,5,5,2,1,1,0,0,1,0,3,2,1,1,3,0,0,1
392645273,0,,,15,6,9,2,1,1,13,5,8,6,3,3,13,5,8,13,5,8,7,2,5,6,1,5,2,0,2,2,0,2,0,0,0,6,6,1,4,0,0,0,1,0,5,4,1,1,5,0,1,1
392645274,0,,,21,12,9,4,3,1,17,9,8,11,6,5,17,9,8,16,9,7,6,3,3,3,2,1,0,0,0,0,0,0,0,0,0,9,9,3,4,0,0,2,0,0,6,5,1,0,4,0,1,2
392645281,1,,392645283,70,40,30,11,6,5,63,35,28,39,22,17,56,31,25,55,31,24,24,13,11,10,6,4,6,4,2,1,1,0,0,0,0,25,25,5,11,4,3,3,0,1,22,17,5,1,14,0,2,5
392645283,2,392645281,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392645291,2,392645293,,9,6,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392645292,0,,,131,65,66,23,13,10,108,52,56,67,34,33,104,51,53,102,50,52,41,18,23,22,9,13,11,5,6,1,0,1,1,0,1,49,49,10,18,10,6,3,1,1,39,37,2,3,25,0,5,12
392645293,1,,392645291,9,4,5,0,0,0,18,10,8,10,5,5,18,10,8,18,10,8,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,2,0,0,0,0,7,6,1,0,5,1,1,1
392645294,0,,,222,116,106,38,19,19,184,97,87,115,61,54,172,90,82,171,90,81,69,36,33,35,15,20,20,8,12,1,1,0,3,1,2,105,105,45,32,13,7,6,0,2,59,52,7,9,50,3,20,12
392645371,1,,392645373,12,8,4,0,0,0,17,12,5,11,7,4,17,12,5,16,11,5,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,3,1,1,0,0,0,5,5,0,0,5,0,1,1
392645372,0,,,50,28,22,7,2,5,43,26,17,27,17,10,42,25,17,41,25,16,16,9,7,7,3,4,5,2,3,0,0,0,0,0,0,23,23,10,6,3,2,1,1,0,13,11,2,1,10,1,5,1
392645373,2,392645371,,5,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392645374,0,,,42,26,16,3,2,1,38,23,15,20,14,6,38,23,15,38,23,15,18,9,9,7,4,3,2,0,2,2,0,2,0,0,0,20,20,6,8,5,0,1,0,0,14,12,2,0,12,0,3,4
392645381,0,,,23,14,9,1,0,1,22,14,8,16,10,6,21,13,8,21,13,8,6,4,2,4,2,2,2,1,1,0,0,0,0,0,0,12,12,6,2,3,1,0,0,0,6,4,2,0,5,0,1,1
392645383,1,,392645481,39,15,24,5,2,3,35,13,22,16,6,10,31,13,18,31,13,18,19,7,12,10,4,6,9,4,5,1,1,0,0,0,0,15,15,3,8,2,1,1,1,0,13,9,4,1,13,0,3,4
392645391,2,392645392,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392645392,1,,392645391,83,46,37,13,7,6,73,40,33,44,24,20,71,39,32,71,39,32,29,16,13,14,6,8,9,3,6,1,1,0,2,1,1,35,35,13,14,1,6,2,0,1,24,18,6,3,22,0,7,4
392645394,0,,,244,120,124,35,12,23,209,108,101,125,63,62,202,106,96,200,104,96,84,45,39,34,17,17,17,8,9,2,0,2,0,0,0,105,105,33,34,21,8,6,3,0,70,63,7,13,58,0,15,18
392645472,0,,,36,19,17,3,1,2,33,18,15,20,11,9,31,16,15,31,16,15,13,7,6,6,2,4,0,0,0,0,0,0,0,0,0,15,15,5,5,3,0,1,0,1,10,7,3,1,9,0,2,3
392645481,2,392645383,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392645492,2,392645494,,6,5,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
392645494,1,,392645492,82,45,37,4,3,1,84,47,37,31,18,13,83,46,37,82,45,37,53,29,24,30,13,17,15,5,10,2,1,1,1,0,1,48,48,24,19,6,2,0,0,0,27,23,4,1,39,0,18,8
392645592,0,,,17,8,9,2,0,2,15,8,7,7,4,3,15,8,7,15,8,7,8,4,4,5,2,3,1,0,1,0,0,0,0,0,0,10,10,6,2,1,1,0,0,0,4,4,0,1,7,0,5,1
