KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,　人口（総数）,　人口（総数）　男,　人口（総数）　女,　０～１４歳人口　総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口　総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口　総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　１８歳以上人口　総数,　１８歳以上人口　男,　１８歳以上人口　女,　２０歳以上人口　総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口　総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口　総数,　７５歳以上人口　男,　７５歳以上人口　女,　８５歳以上人口　総数,　８５歳以上人口　男,　８５歳以上人口　女,　９５歳以上人口　総数,　９５歳以上人口　男,　９５歳以上人口　女,　外国人人口　総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯数　一般世帯数,　２人世帯数　一般世帯数,　３人世帯数　一般世帯数,　４人世帯数　一般世帯数,　５人世帯数　一般世帯数,　６人世帯数　一般世帯数,　７人以上世帯数　一般世帯数,　親族のみの世帯数　一般世帯数,　核家族世帯数　一般世帯数,　核家族以外の世帯数　一般世帯数,　６歳未満世帯員のいる世帯数　一般世帯数,　６５歳以上世帯員のいる世帯数　一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯数　一般世帯数,　高齢単身世帯数　一般世帯数,　高齢夫婦世帯数　一般世帯数
513903691,2,513903693,,6,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513903693,1,,513903691,19,8,11,4,1,3,21,11,10,9,5,4,21,11,10,21,11,10,12,6,6,6,3,3,1,1,0,0,0,0,0,0,0,9,9,4,5,1,2,0,0,0,8,8,0,0,7,0,2,4
513903781,0,,,97,40,57,7,3,4,90,37,53,37,21,16,90,37,53,90,37,53,53,16,37,47,13,34,32,7,25,5,1,4,2,0,2,32,31,20,5,5,1,0,0,0,10,10,0,3,6,0,5,0
513903782,1,,513903791,103,66,37,6,4,2,103,67,36,61,44,17,101,66,35,101,66,35,42,23,19,22,10,12,7,1,6,0,0,0,1,1,0,69,69,48,17,5,3,0,0,0,25,23,2,3,32,7,19,8
513903783,2,513903784,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513903784,1,,513903783,136,83,53,17,8,9,124,77,47,82,52,30,122,76,46,121,76,45,42,25,17,16,7,9,5,1,4,0,0,0,4,1,3,83,83,50,30,1,4,1,0,1,37,37,0,5,37,2,18,9
513903791,2,513903782,,6,5,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513903882,0,,,72,32,40,4,2,2,68,30,38,32,16,16,66,28,38,66,28,38,36,14,22,19,7,12,6,2,4,1,0,1,0,0,0,38,38,17,12,5,4,0,0,0,20,19,1,1,25,1,11,7
513903883,0,,,108,65,43,11,9,2,97,56,41,65,39,26,93,54,39,92,53,39,32,17,15,11,4,7,0,0,0,0,0,0,0,0,0,62,62,33,17,7,5,0,0,0,29,27,2,6,24,2,12,8
513903884,0,,,33,22,11,4,3,1,29,19,10,20,15,5,27,17,10,26,17,9,9,4,5,5,1,4,3,1,2,1,0,1,0,0,0,20,20,13,4,1,1,1,0,0,7,7,0,1,8,0,5,1
513903981,0,,,58,30,28,12,4,8,46,26,20,26,15,11,45,25,20,43,23,20,20,11,9,10,3,7,2,2,0,0,0,0,0,0,0,32,32,19,6,3,3,0,1,0,13,12,1,4,16,0,11,3
513903982,0,,,111,62,49,8,5,3,103,57,46,48,29,19,102,57,45,102,57,45,55,28,27,26,11,15,8,3,5,0,0,0,1,0,1,70,70,40,22,6,1,1,0,0,30,28,2,1,42,2,22,10
513903983,0,,,13,6,7,1,0,1,12,6,6,7,4,3,12,6,6,11,5,6,5,2,3,2,0,2,1,0,1,0,0,0,0,0,0,7,7,3,3,0,1,0,0,0,4,4,0,0,5,0,3,1
513903984,0,,,12,7,5,0,0,0,12,7,5,4,3,1,12,7,5,12,7,5,8,4,4,6,3,3,2,1,1,0,0,0,0,0,0,11,11,10,1,0,0,0,0,0,1,1,0,0,7,0,6,1
513904621,2,513904624,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513904624,1,,513904621,14,5,9,1,0,1,19,7,12,7,3,4,19,7,12,19,7,12,12,4,8,6,1,5,0,0,0,0,0,0,0,0,0,10,10,10,2,2,0,0,0,0,4,4,0,1,11,0,9,0
513904633,0,,,107,54,53,9,5,4,98,49,49,51,26,25,98,49,49,96,47,49,47,23,24,22,7,15,10,3,7,0,0,0,2,0,2,64,64,32,25,4,2,1,0,0,31,28,3,3,36,2,19,11
513904731,0,,,70,44,26,3,1,2,67,43,24,33,25,8,67,43,24,67,43,24,34,18,16,18,9,9,8,4,4,0,0,0,1,1,0,50,50,34,13,2,1,0,0,0,15,15,0,1,26,5,16,9
513904732,0,,,158,89,69,16,11,5,142,78,64,80,44,36,140,77,63,138,76,62,62,34,28,33,17,16,14,6,8,1,0,1,3,1,2,100,100,61,28,6,2,3,0,0,38,38,0,4,50,7,29,12
513904734,0,,,26,11,15,6,3,3,20,8,12,13,5,8,20,8,12,20,8,12,7,3,4,1,0,1,0,0,0,0,0,0,0,0,0,12,12,4,4,3,0,1,0,0,7,7,0,3,5,1,2,3
513904741,0,,,42,24,18,2,1,1,40,23,17,19,9,10,39,22,17,38,21,17,21,14,7,5,3,2,1,1,0,0,0,0,3,0,3,28,28,18,8,1,0,1,0,0,10,10,0,0,17,1,10,5
513904743,0,,,43,27,16,4,1,3,39,26,13,25,19,6,39,26,13,39,26,13,14,7,7,3,2,1,1,1,0,0,0,0,0,0,0,30,30,22,5,1,2,0,0,0,8,8,0,1,9,6,3,4
513904841,2,513904844,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513904842,2,513904844,,5,1,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513904844,1,,513904841;513904842,8,7,1,0,0,0,19,10,9,9,6,3,19,10,9,19,10,9,10,4,6,3,0,3,2,0,2,0,0,0,2,2,0,6,6,9,5,0,0,0,0,0,5,4,1,0,9,1,5,2
513904942,1,,513904953,12,6,6,2,1,1,15,8,7,9,5,4,15,8,7,15,8,7,6,3,3,4,2,2,1,0,1,0,0,0,0,0,0,6,6,5,4,0,1,0,0,0,5,5,0,1,4,0,2,2
513904944,0,,,21,11,10,2,0,2,19,11,8,8,5,3,19,11,8,19,11,8,11,6,5,7,4,3,2,1,1,0,0,0,2,0,2,12,12,6,4,1,1,0,0,0,6,6,0,1,6,0,1,4
513904953,2,513904942,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513913084,0,,,5,5,0,0,0,0,5,5,0,2,2,0,5,5,0,5,5,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,1,0,1,0,3,0,2,0
513913193,0,,,73,39,34,9,5,4,64,34,30,36,22,14,64,34,30,64,34,30,28,12,16,20,8,12,7,3,4,2,1,1,0,0,0,40,40,17,16,4,3,0,0,0,23,23,0,3,20,1,9,7
513913194,0,,,48,27,21,10,7,3,38,20,18,18,11,7,38,20,18,38,20,18,20,9,11,10,6,4,1,0,1,0,0,0,2,1,1,23,23,11,5,4,0,3,0,0,12,11,1,2,14,0,6,3
513913291,1,,513913292,16,10,6,0,0,0,17,10,7,6,4,2,17,10,7,17,10,7,11,6,5,6,3,3,1,1,0,0,0,0,0,0,0,11,11,7,5,0,0,0,0,0,5,5,0,0,7,2,2,4
513913292,2,513913291,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513913392,0,,,9,4,5,0,0,0,9,4,5,6,2,4,9,4,5,9,4,5,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,5,5,2,2,1,0,0,0,0,3,3,0,0,2,0,0,1
513913394,0,,,34,15,19,4,2,2,30,13,17,18,7,11,29,13,16,29,13,16,12,6,6,6,1,5,2,0,2,0,0,0,0,0,0,18,18,9,6,1,0,2,0,0,9,7,2,2,11,0,7,2
513914042,2,513914142,,11,5,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513914142,1,,513914042,5,4,1,3,2,1,13,7,6,6,4,2,13,7,6,13,7,6,7,3,4,4,1,3,3,1,2,0,0,0,0,0,0,4,4,4,2,1,0,1,0,0,4,4,0,1,5,0,2,1
