KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
483100001,0,,,61,23,38,5,2,3,56,21,35,29,11,18,55,21,34,55,21,34,27,10,17,20,7,13,8,4,4,1,0,1,0,0,0,31,31,10,17,1,2,0,1,0,21,20,1,1,18,0,7,8
483100003,0,,,80,36,44,10,3,7,70,33,37,35,16,19,69,32,37,69,32,37,35,17,18,12,5,7,5,3,2,0,0,0,0,0,0,33,33,7,15,4,4,3,0,0,26,24,2,2,22,0,5,11
483100004,0,,,31,15,16,0,0,0,31,15,16,12,6,6,31,15,16,31,15,16,19,9,10,9,4,5,4,2,2,1,1,0,0,0,0,14,14,2,8,3,1,0,0,0,12,11,1,0,11,0,2,5
483100011,0,,,27,13,14,2,1,1,25,12,13,12,5,7,25,12,13,25,12,13,13,7,6,9,4,5,3,1,2,0,0,0,1,0,1,14,14,4,8,1,1,0,0,0,10,10,0,1,9,0,3,4
483100012,0,,,29,15,14,0,0,0,29,15,14,14,7,7,28,14,14,28,14,14,15,8,7,4,2,2,2,0,2,0,0,0,0,0,0,13,13,4,4,4,0,1,0,0,9,8,1,0,10,0,3,3
483100013,0,,,57,28,29,3,2,1,54,26,28,26,14,12,54,26,28,54,26,28,28,12,16,18,8,10,6,4,2,1,1,0,0,0,0,28,28,11,10,3,3,1,0,0,16,14,2,0,22,0,9,5
483100014,0,,,21,10,11,0,0,0,21,10,11,6,3,3,20,9,11,20,9,11,15,7,8,12,6,6,5,3,2,0,0,0,0,0,0,13,13,6,6,1,0,0,0,0,7,6,1,0,10,0,5,4
483100021,2,483100023,,9,5,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
483100023,1,,483100021;483100034,8,4,4,6,3,3,13,7,6,8,4,4,12,7,5,12,7,5,5,3,2,2,1,1,2,1,1,0,0,0,0,0,0,2,2,4,1,1,0,2,0,0,3,2,1,2,4,0,3,0
