KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
624001843,0,,,21,10,11,0,0,0,21,10,11,9,5,4,21,10,11,21,10,11,12,5,7,7,3,4,3,2,1,1,0,1,0,0,0,9,9,1,5,2,1,0,0,0,8,6,2,0,8,0,1,2
624001932,2,624001934,,11,3,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
624001933,2,624001934,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
624001934,1,,624001932;624001933,77,30,47,3,2,1,86,31,55,34,16,18,85,30,55,85,30,55,52,15,37,38,9,29,14,4,10,0,0,0,5,0,5,42,42,27,15,3,4,0,0,1,23,19,4,1,39,4,19,10
624001941,0,,,120,53,67,7,5,2,113,48,65,32,13,19,112,48,64,112,48,64,81,35,46,49,20,29,19,8,11,1,1,0,0,0,0,68,68,33,25,5,3,2,0,0,35,31,4,0,59,0,27,19
624006461,0,,,58,30,28,10,5,5,48,25,23,26,15,11,47,24,23,47,24,23,22,10,12,11,4,7,4,1,3,0,0,0,0,0,0,23,23,8,5,7,0,1,0,2,15,10,5,1,17,0,4,1
624006764,0,,,87,44,43,4,2,2,83,42,41,36,19,17,80,40,40,80,40,40,47,23,24,23,10,13,12,5,7,1,0,1,0,0,0,40,40,14,15,5,4,0,2,0,26,17,9,0,33,0,11,8
624006862,0,,,17,10,7,0,0,0,16,9,7,6,4,2,16,9,7,16,9,7,10,5,5,5,2,3,2,1,1,0,0,0,0,0,0,8,8,3,3,1,0,1,0,0,5,3,2,0,5,0,0,3
624006881,2,624006882,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
624006882,1,,624006881,16,10,6,3,2,1,19,10,9,10,5,5,19,10,9,19,10,9,9,5,4,3,2,1,0,0,0,0,0,0,0,0,0,6,6,4,1,0,2,0,0,1,4,1,3,2,7,0,4,0
624006884,1,,624006982,27,13,14,3,2,1,27,12,15,8,5,3,27,12,15,27,12,15,19,7,12,16,6,10,4,2,2,0,0,0,0,0,0,14,14,6,6,2,0,0,1,0,9,7,2,1,14,0,5,4
624006982,2,624006884,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
624010064,0,,,184,109,75,10,7,3,174,102,72,115,80,35,173,102,71,172,101,71,59,22,37,36,12,24,8,2,6,0,0,0,0,0,0,82,81,49,25,3,3,1,0,0,32,30,2,4,47,0,33,9
624010073,0,,,245,116,129,9,5,4,236,111,125,101,47,54,233,109,124,230,106,124,135,64,71,59,24,35,17,5,12,2,1,1,0,0,0,124,124,42,56,18,4,3,1,0,81,70,11,2,94,1,30,33
624010161,2,624010163,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
624010162,0,,,52,34,18,3,1,2,49,33,16,41,30,11,47,32,15,47,32,15,8,3,5,1,0,1,0,0,0,0,0,0,1,0,1,32,32,18,9,4,1,0,0,0,14,13,1,1,5,1,1,2
