KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,　人口（総数）,　人口（総数）　男,　人口（総数）　女,　０～１４歳人口　総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口　総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口　総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　１８歳以上人口　総数,　１８歳以上人口　男,　１８歳以上人口　女,　２０歳以上人口　総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口　総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口　総数,　７５歳以上人口　男,　７５歳以上人口　女,　８５歳以上人口　総数,　８５歳以上人口　男,　８５歳以上人口　女,　９５歳以上人口　総数,　９５歳以上人口　男,　９５歳以上人口　女,　外国人人口　総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯数　一般世帯数,　２人世帯数　一般世帯数,　３人世帯数　一般世帯数,　４人世帯数　一般世帯数,　５人世帯数　一般世帯数,　６人世帯数　一般世帯数,　７人以上世帯数　一般世帯数,　親族のみの世帯数　一般世帯数,　核家族世帯数　一般世帯数,　核家族以外の世帯数　一般世帯数,　６歳未満世帯員のいる世帯数　一般世帯数,　６５歳以上世帯員のいる世帯数　一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯数　一般世帯数,　高齢単身世帯数　一般世帯数,　高齢夫婦世帯数　一般世帯数
664500703,0,,,59,30,29,8,4,4,51,26,25,37,21,16,51,26,25,51,26,25,14,5,9,7,2,5,2,0,2,0,0,0,0,0,0,26,26,7,11,2,6,0,0,0,19,16,3,2,10,1,3,4
664500801,0,,,150,86,64,12,9,3,129,69,60,106,57,49,129,69,60,129,69,60,23,12,11,10,4,6,3,1,2,0,0,0,0,0,0,92,92,54,23,12,1,2,0,0,37,33,4,3,17,9,5,4
664500803,0,,,171,97,74,12,6,6,159,91,68,133,82,51,158,91,67,158,91,67,26,9,17,7,2,5,1,0,1,0,0,0,23,5,18,125,125,93,24,5,1,1,1,0,31,30,1,4,18,24,8,8
664500901,0,,,13,7,6,1,1,0,12,6,6,9,5,4,12,6,6,12,6,6,3,1,2,2,1,1,1,1,0,0,0,0,0,0,0,6,6,2,2,1,1,0,0,0,3,2,1,0,1,0,0,0
664500902,2,664500904,,9,3,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664500904,1,,664500902;664510014;664510371,15,7,8,4,1,3,27,13,14,19,10,9,27,13,14,26,13,13,8,3,5,2,0,2,0,0,0,0,0,0,0,0,0,10,10,10,4,3,1,0,0,0,8,8,0,1,7,1,6,1
664501041,0,,,93,52,41,2,1,1,91,51,40,54,35,19,90,51,39,90,51,39,37,16,21,23,11,12,4,4,0,1,1,0,0,0,0,47,47,15,20,10,2,0,0,0,32,29,3,0,24,2,1,7
664501043,0,,,153,81,72,28,14,14,125,67,58,94,52,42,117,61,56,113,59,54,31,15,16,18,9,9,2,2,0,0,0,0,2,2,0,65,65,24,14,16,5,4,1,1,41,35,6,7,22,2,7,5
664501142,0,,,99,47,52,12,6,6,87,41,46,57,29,28,82,39,43,79,36,43,30,12,18,13,5,8,1,1,0,0,0,0,0,0,0,39,39,10,13,8,5,1,1,1,29,23,6,1,19,0,5,5
664501144,0,,,28,10,18,5,2,3,23,8,15,17,7,10,21,8,13,21,8,13,6,1,5,4,0,4,1,0,1,0,0,0,0,0,0,14,14,4,7,2,1,0,0,0,10,9,1,0,5,1,1,1
664501151,2,664501153,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664501153,1,,664501151,223,102,121,30,10,20,195,93,102,111,56,55,191,90,101,190,89,101,84,37,47,46,16,30,11,2,9,1,0,1,0,0,0,87,87,17,35,21,9,1,3,2,70,51,19,7,51,0,8,17
664501244,0,,,243,100,143,30,12,18,213,88,125,150,66,84,204,83,121,202,83,119,63,22,41,47,15,32,13,5,8,0,0,0,0,0,0,118,118,49,33,19,14,3,0,0,68,59,9,6,50,4,25,8
664501251,0,,,265,134,131,26,17,9,239,117,122,146,74,72,229,113,116,227,111,116,93,43,50,48,23,25,14,4,10,1,0,1,1,1,0,130,130,54,47,15,7,4,0,3,74,60,14,6,67,7,21,18
664501252,0,,,121,53,68,22,9,13,99,44,55,76,36,40,93,43,50,93,43,50,23,8,15,9,3,6,2,0,2,0,0,0,0,0,0,47,47,13,15,7,6,4,1,1,33,26,7,3,15,1,3,4
664501253,1,,664501351,393,190,203,26,10,16,368,180,188,202,119,83,365,179,186,362,177,185,166,61,105,101,34,67,40,12,28,6,1,5,0,0,0,198,197,98,57,25,11,5,0,2,96,70,26,8,98,16,33,20
664501254,0,,,141,62,79,17,6,11,124,56,68,87,41,46,122,54,68,120,54,66,37,15,22,20,6,14,6,1,5,1,0,1,0,0,0,58,58,12,22,14,8,1,1,0,46,34,12,5,24,4,4,5
664501263,0,,,63,29,34,3,2,1,60,27,33,37,20,17,60,27,33,59,26,33,23,7,16,18,5,13,9,3,6,3,0,3,0,0,0,22,21,7,6,3,3,1,1,0,14,8,6,0,8,1,0,1
664501341,0,,,57,33,24,8,3,5,49,30,19,45,27,18,46,28,18,45,28,17,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,28,28,14,7,2,3,1,1,0,14,13,1,2,3,3,1,2
664501342,0,,,48,34,14,5,2,3,43,32,11,37,30,7,43,32,11,43,32,11,6,2,4,6,2,4,1,1,0,0,0,0,0,0,0,29,29,22,0,3,3,1,0,0,6,3,3,1,4,7,0,0
664501343,0,,,85,42,43,8,5,3,77,37,40,38,21,17,74,34,40,72,33,39,39,16,23,18,7,11,8,3,5,0,0,0,0,0,0,29,28,9,8,3,3,4,0,1,19,14,5,1,18,0,5,4
664501351,2,664501253,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664501361,0,,,74,39,35,5,3,2,69,36,33,45,26,19,66,34,32,66,34,32,24,10,14,8,4,4,2,0,2,0,0,0,0,0,0,28,28,4,12,5,4,3,0,0,24,18,6,2,15,0,1,5
664501363,0,,,16,7,9,4,1,3,12,6,6,9,5,4,12,6,6,12,6,6,3,1,2,1,0,1,1,0,1,0,0,0,0,0,0,5,5,1,1,1,1,0,1,0,4,2,2,2,2,0,0,0
664501364,0,,,25,17,8,0,0,0,25,17,8,18,12,6,25,17,8,24,16,8,7,5,2,1,0,1,0,0,0,0,0,0,1,0,1,8,8,1,1,3,2,1,0,0,7,5,2,0,4,0,0,0
664501462,0,,,19,10,9,1,1,0,18,9,9,12,7,5,18,9,9,18,9,9,6,2,4,3,0,3,0,0,0,0,0,0,0,0,0,7,7,2,3,0,1,0,0,1,5,3,2,1,5,0,1,1
664501471,0,,,23,11,12,0,0,0,23,11,12,13,7,6,23,11,12,23,11,12,10,4,6,3,1,2,2,0,2,0,0,0,0,0,0,10,10,3,2,4,1,0,0,0,7,4,3,0,7,0,1,2
664501474,1,,664501572,18,10,8,3,0,3,18,12,6,15,10,5,18,12,6,18,12,6,3,2,1,1,1,0,0,0,0,0,0,0,1,1,0,9,9,5,3,2,1,0,0,0,6,6,0,1,2,0,1,1
664501572,2,664501474,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664501581,0,,,56,27,29,6,4,2,50,23,27,32,16,16,50,23,27,50,23,27,18,7,11,12,5,7,4,2,2,0,0,0,0,0,0,20,20,4,5,6,3,1,0,1,16,10,6,2,11,1,1,2
664501583,0,,,57,30,27,4,1,3,53,29,24,30,18,12,52,28,24,52,28,24,23,11,12,10,4,6,4,2,2,1,1,0,0,0,0,19,19,3,6,6,1,1,1,1,16,11,5,1,14,0,1,2
664501682,0,,,27,14,13,1,0,1,26,14,12,13,8,5,25,13,12,25,13,12,13,6,7,10,5,5,2,2,0,0,0,0,0,0,0,11,11,2,6,1,0,2,0,0,9,7,2,1,8,1,1,3
664501684,0,,,14,8,6,1,1,0,13,7,6,7,4,3,13,7,6,13,7,6,6,3,3,1,0,1,1,0,1,0,0,0,0,0,0,6,6,2,1,2,1,0,0,0,4,3,1,0,3,2,0,0
664501693,0,,,11,7,4,0,0,0,11,7,4,5,3,2,11,7,4,11,7,4,6,4,2,1,0,1,1,0,1,0,0,0,0,0,0,4,4,1,1,1,0,1,0,0,3,1,2,0,3,0,0,1
664501782,2,664501784,,7,5,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664501784,1,,664501782,18,8,10,4,2,2,21,11,10,18,10,8,21,11,10,21,11,10,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,6,6,2,3,1,1,2,0,0,7,4,3,2,2,0,0,0
664501791,0,,,21,10,11,1,1,0,20,9,11,16,8,8,20,9,11,20,9,11,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,7,7,1,2,2,1,0,1,0,6,5,1,1,3,0,0,0
664501793,0,,,46,21,25,11,4,7,35,17,18,23,13,10,31,14,17,30,13,17,12,4,8,5,1,4,1,0,1,0,0,0,0,0,0,14,14,3,4,2,0,2,2,1,11,7,4,4,9,0,2,2
664501891,0,,,23,12,11,7,3,4,16,9,7,10,7,3,15,8,7,15,8,7,6,2,4,3,0,3,1,0,1,0,0,0,0,0,0,7,7,2,1,1,1,1,0,1,5,2,3,1,5,0,1,1
664501893,0,,,64,34,30,6,5,1,58,29,29,34,18,16,56,27,29,54,25,29,24,11,13,8,4,4,3,1,2,0,0,0,0,0,0,22,22,7,5,2,3,3,0,2,15,9,6,3,15,2,3,3
664510014,2,664500904,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664510371,2,664500904,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664511091,1,,664511093,35,14,21,4,3,1,33,12,21,25,8,17,33,12,21,33,12,21,8,4,4,6,3,3,0,0,0,0,0,0,11,0,11,16,16,12,0,1,3,2,0,0,6,1,5,1,5,11,0,0
664511093,2,664511091,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664511193,2,664511291,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664511291,1,,664511193,12,6,6,0,0,0,14,7,7,6,3,3,14,7,7,14,7,7,8,4,4,3,2,1,0,0,0,0,0,0,0,0,0,5,5,1,3,1,1,0,0,0,5,3,2,0,4,0,0,2
664511292,0,,,34,16,18,4,3,1,30,13,17,16,8,8,28,13,15,28,13,15,14,5,9,4,1,3,0,0,0,0,0,0,0,0,0,14,14,4,4,4,1,0,1,0,10,8,2,0,10,0,2,3
664511294,0,,,77,43,34,11,8,3,66,35,31,46,25,21,65,34,31,65,34,31,20,10,10,10,5,5,4,3,1,0,0,0,0,0,0,29,29,7,8,8,1,4,1,0,22,18,4,2,15,0,3,1
664511392,0,,,35,18,17,5,4,1,30,14,16,19,8,11,29,13,16,29,13,16,11,6,5,5,3,2,2,2,0,0,0,0,0,0,0,11,11,3,1,3,2,0,1,1,8,3,5,1,7,0,1,0
664512303,0,,,31,15,16,6,3,3,25,12,13,21,10,11,25,12,13,24,12,12,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,10,10,2,2,2,2,1,1,0,8,6,2,2,3,0,1,1
664512401,0,,,42,20,22,4,2,2,38,18,20,23,12,11,36,17,19,35,16,19,15,6,9,10,3,7,3,1,2,0,0,0,0,0,0,13,13,2,4,1,2,3,1,0,11,6,5,1,11,0,2,2
664512403,0,,,15,10,5,3,2,1,12,8,4,8,6,2,11,7,4,11,7,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,2,0,3,1,2,1,2,0,0,0
664512502,2,664512712,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664512504,2,664512712,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664512712,1,,664512502;664512504;664512833,16,9,7,2,1,1,25,13,12,13,7,6,25,13,12,25,13,12,12,6,6,2,1,1,1,1,0,0,0,0,0,0,0,7,7,1,7,1,1,1,0,0,10,10,0,0,6,0,0,5
664512833,2,664512712,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664512931,2,664512934,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
664512934,1,,664512931,8,5,3,0,0,0,10,6,4,6,4,2,10,6,4,10,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,1,0,0,0,0,4,4,0,0,2,0,0,2
