KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,　人口（総数）,　人口（総数）　男,　人口（総数）　女,　０～１４歳人口　総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口　総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口　総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　１８歳以上人口　総数,　１８歳以上人口　男,　１８歳以上人口　女,　２０歳以上人口　総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口　総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口　総数,　７５歳以上人口　男,　７５歳以上人口　女,　８５歳以上人口　総数,　８５歳以上人口　男,　８５歳以上人口　女,　９５歳以上人口　総数,　９５歳以上人口　男,　９５歳以上人口　女,　外国人人口　総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯数　一般世帯数,　２人世帯数　一般世帯数,　３人世帯数　一般世帯数,　４人世帯数　一般世帯数,　５人世帯数　一般世帯数,　６人世帯数　一般世帯数,　７人以上世帯数　一般世帯数,　親族のみの世帯数　一般世帯数,　核家族世帯数　一般世帯数,　核家族以外の世帯数　一般世帯数,　６歳未満世帯員のいる世帯数　一般世帯数,　６５歳以上世帯員のいる世帯数　一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯数　一般世帯数,　高齢単身世帯数　一般世帯数,　高齢夫婦世帯数　一般世帯数
404241761,1,,404241762,28,14,14,9,3,6,23,13,10,21,12,9,22,12,10,22,12,10,2,1,1,2,1,1,0,0,0,0,0,0,1,1,0,13,13,10,2,1,1,1,1,0,5,5,0,1,2,3,2,0
404241762,2,404241761,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241763,1,,404241764,67,36,31,13,4,9,56,33,23,49,26,23,54,31,23,53,30,23,7,7,0,2,2,0,2,2,0,0,0,0,0,0,0,38,38,22,9,5,1,2,0,0,14,13,1,4,7,6,5,0
404241764,2,404241763,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241861,0,,,49,27,22,5,2,3,44,25,19,37,19,18,44,25,19,44,25,19,7,6,1,2,1,1,1,0,1,0,0,0,2,2,0,33,33,22,7,3,1,0,0,0,10,9,1,1,6,2,4,1
404241863,1,,404241864;404241962;404241964,83,45,38,23,12,11,66,35,31,51,28,23,66,35,31,66,35,31,15,7,8,4,2,2,2,0,2,1,0,1,0,0,0,37,37,17,12,5,3,3,1,0,24,23,1,4,10,3,3,4
404241864,2,404241863,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241962,2,404241863,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241964,2,404241863,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404251151,0,,,296,175,121,31,14,17,265,161,104,228,140,88,264,160,104,264,160,104,37,21,16,8,5,3,3,2,1,0,0,0,2,0,2,183,180,132,26,9,9,3,1,0,47,47,0,12,27,28,11,9
404251152,0,,,71,33,38,5,3,2,66,30,36,46,22,24,66,30,36,66,30,36,20,8,12,7,3,4,2,0,2,1,0,1,2,0,2,50,50,37,10,1,1,0,0,1,12,10,2,1,14,13,8,2
404251153,0,,,67,39,28,7,6,1,60,33,27,49,28,21,58,31,27,58,31,27,11,5,6,2,0,2,1,0,1,0,0,0,0,0,0,38,38,22,8,3,5,0,0,0,16,15,1,1,9,5,3,2
404251154,0,,,233,131,102,35,25,10,197,105,92,158,83,75,194,105,89,192,105,87,39,22,17,15,9,6,5,2,3,0,0,0,2,1,1,120,120,57,32,15,14,1,1,0,63,62,1,9,30,8,12,10
404251161,2,404251163,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
