KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001141001,T001141002,T001141003,T001141004,T001141005,T001141006,T001141007,T001141008,T001141009,T001141010,T001141011,T001141012,T001141013,T001141014,T001141015,T001141016,T001141017,T001141018,T001141019,T001141020,T001141021,T001141022,T001141023,T001141024,T001141025,T001141026,T001141027,T001141028,T001141029,T001141030,T001141031,T001141032,T001141033,T001141034,T001141035,T001141036,T001141037,T001141038,T001141039,T001141040,T001141041,T001141042,T001141043,T001141044,T001141045,T001141046,T001141047,T001141048,T001141049,T001141050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
604000061,0,,,36,19,17,1,0,1,35,19,16,18,11,7,34,19,15,34,19,15,17,8,9,9,4,5,2,1,1,0,0,0,0,0,0,11,11,1,2,3,3,2,0,0,10,5,5,0,10,0,1,1
604000062,0,,,44,22,22,2,2,0,42,20,22,23,13,10,42,20,22,42,20,22,19,7,12,14,5,9,4,1,3,0,0,0,0,0,0,21,21,5,10,5,1,0,0,0,16,12,4,0,14,0,5,3
604000063,0,,,133,61,72,4,2,2,129,59,70,59,30,29,128,58,70,127,58,69,70,29,41,34,11,23,14,1,13,2,0,2,0,0,0,55,55,16,18,10,6,3,2,0,39,24,15,1,43,0,12,12
604000064,0,,,28,10,18,2,1,1,26,9,17,5,3,2,26,9,17,26,9,17,21,6,15,17,3,14,11,2,9,3,0,3,0,0,0,5,4,0,2,1,1,0,0,0,4,4,0,0,3,0,0,1
604000082,0,,,27,15,12,1,1,0,26,14,12,13,7,6,26,14,12,26,14,12,13,7,6,6,4,2,5,3,2,0,0,0,0,0,0,10,10,2,3,2,2,1,0,0,8,4,4,0,7,0,0,1
604000161,0,,,67,23,44,3,1,2,64,22,42,37,14,23,62,22,40,61,21,40,27,8,19,22,6,16,5,0,5,0,0,0,0,0,0,25,25,6,6,8,1,3,1,0,19,8,11,0,21,0,5,3
604000163,0,,,19,10,9,0,0,0,19,10,9,10,7,3,19,10,9,19,10,9,9,3,6,7,2,5,3,1,2,0,0,0,0,0,0,7,7,1,2,3,0,1,0,0,6,4,2,0,5,0,1,1
604000261,2,604000263,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000263,1,,604000261;604000264,45,19,26,5,1,4,44,20,24,23,12,11,43,20,23,43,20,23,21,8,13,8,1,7,2,0,2,0,0,0,0,0,0,18,18,7,5,5,3,1,0,0,14,9,5,0,16,0,5,2
604000264,2,604000263,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000361,1,,604000362,123,61,62,8,6,2,122,60,62,56,31,25,119,58,61,119,58,61,66,29,37,38,15,23,9,4,5,0,0,0,0,0,0,52,52,12,24,7,6,5,0,0,42,30,12,3,43,0,8,10
604000362,2,604000361,,7,5,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000363,0,,,108,50,58,12,8,4,96,42,54,55,27,28,92,39,53,90,38,52,41,15,26,12,4,8,3,1,2,0,0,0,1,0,1,39,39,9,13,4,7,3,3,0,30,18,12,0,27,1,5,8
604000452,2,604000461,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000461,1,,604000452,198,98,100,23,11,12,183,90,93,96,49,47,176,85,91,175,85,90,87,41,46,38,18,20,19,6,13,1,0,1,2,2,0,66,66,11,23,12,8,7,3,4,56,35,21,4,54,2,7,16
604000462,0,,,166,86,80,11,6,5,155,80,75,81,48,33,153,78,75,152,77,75,74,32,42,35,12,23,9,1,8,0,0,0,8,6,2,71,71,19,26,12,12,1,1,0,52,38,14,3,50,4,8,16
604000463,0,,,256,93,163,17,4,13,239,89,150,85,42,43,235,86,149,234,86,148,154,47,107,123,34,89,73,12,61,7,0,7,0,0,0,81,79,29,24,8,10,5,2,1,48,31,17,3,59,1,21,13
604000464,0,,,223,102,121,14,6,8,209,96,113,104,47,57,202,92,110,196,90,106,105,49,56,57,23,34,15,1,14,0,0,0,0,0,0,88,88,19,28,27,8,2,3,1,68,56,12,4,66,0,16,18
604000471,0,,,18,9,9,0,0,0,18,9,9,9,6,3,17,8,9,17,8,9,9,3,6,3,1,2,1,0,1,0,0,0,0,0,0,7,7,3,1,1,1,0,1,0,4,1,3,0,7,0,3,1
604000473,0,,,59,29,30,1,1,0,58,28,30,33,19,14,56,27,29,56,27,29,25,9,16,9,3,6,3,1,2,0,0,0,0,0,0,20,20,5,6,1,4,1,3,0,15,9,6,0,17,0,3,3
604000474,0,,,97,32,65,0,0,0,97,32,65,1,1,0,97,32,65,97,32,65,96,31,65,85,22,63,60,14,46,9,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604000482,1,,604000484,30,14,16,2,1,1,30,14,16,18,9,9,30,14,16,29,14,15,12,5,7,2,1,1,0,0,0,0,0,0,0,0,0,11,11,2,4,4,1,0,1,0,10,7,3,0,8,0,0,2
604000484,2,604000482,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000561,0,,,243,109,134,20,11,9,222,97,125,108,51,57,219,96,123,218,95,123,114,46,68,66,21,45,19,5,14,0,0,0,0,0,0,103,102,32,35,18,11,2,4,0,69,52,17,9,74,0,22,19
604000562,0,,,490,222,268,68,33,35,422,189,233,278,129,149,405,183,222,400,181,219,144,60,84,63,22,41,17,5,12,1,0,1,1,0,1,184,184,31,65,44,29,9,6,0,152,123,29,13,99,1,20,25
604000563,0,,,194,95,99,24,10,14,170,85,85,85,48,37,166,81,85,164,80,84,85,37,48,46,18,28,17,8,9,0,0,0,0,0,0,85,85,27,30,13,10,4,0,1,57,52,5,7,58,0,20,19
604000564,0,,,188,67,121,17,5,12,171,62,109,88,37,51,161,56,105,158,55,103,83,25,58,60,15,45,32,9,23,0,0,0,0,0,0,61,60,13,21,11,7,4,1,3,46,30,16,1,43,0,11,9
604000571,0,,,40,19,21,4,2,2,36,17,19,20,8,12,35,17,18,34,17,17,16,9,7,10,5,5,7,4,3,1,1,0,0,0,0,15,15,4,4,4,1,1,0,1,11,8,3,1,10,0,3,2
604000654,0,,,73,33,40,7,1,6,66,32,34,25,10,15,65,32,33,65,32,33,41,22,19,25,11,14,10,5,5,1,0,1,0,0,0,28,28,6,10,7,2,2,0,1,22,12,10,3,26,0,6,7
604000661,1,,604000662,106,46,60,6,2,4,113,44,69,62,27,35,110,43,67,109,43,66,51,17,34,25,4,21,15,1,14,1,0,1,0,0,0,46,46,12,18,9,5,3,0,0,35,28,7,0,27,1,6,7
604000662,2,604000661,,13,0,13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000663,1,,604000761,115,52,63,5,4,1,111,49,62,48,21,27,107,46,61,105,46,59,63,28,35,38,17,21,12,5,7,0,0,0,0,0,0,48,48,17,15,7,5,4,0,1,31,19,12,1,41,0,14,7
604000664,0,,,47,23,24,2,1,1,45,22,23,22,10,12,43,21,22,41,20,21,23,12,11,15,7,8,5,2,3,0,0,0,0,0,0,18,18,6,2,6,2,1,1,0,12,7,5,0,15,0,4,1
604000673,0,,,39,16,23,1,0,1,38,16,22,18,8,10,38,16,22,37,16,21,20,8,12,11,4,7,4,0,4,1,0,1,0,0,0,14,14,1,6,3,3,1,0,0,13,7,6,0,13,0,1,3
604000683,2,604000781,,10,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
604000752,1,,604000754,201,98,103,19,10,9,190,91,99,90,48,42,188,90,98,186,90,96,100,43,57,44,17,27,19,4,15,1,0,1,0,0,0,72,72,16,30,7,15,5,2,2,61,38,23,5,66,0,13,19
604000754,2,604000752,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
